VDS_ID,VDS_SECTN_,LINK_ID_da,LINK_ID,F_NODE,T_NODE,LANES_,ROAD_RANK_,ROAD_TYPE_,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,MAX_SPD_,REST_VEH_,REST_W_,REST_H_,LENGTH,REMARK_,geometry
VDS0113,VL1880000214,AN3017060400,1850205700,1850065100,1850065200,3.0,104,000,6,도안동로,0,0,000,60.0,0,0.0,0.0,526.631639578,,POINT (127.3481107 36.32351431)
VDS0114,VL1880000215,AW3017060800,1850201900,1850064600,1850063000,3.0,104,000,20,도안중로,0,0,000,60.0,0,0.0,0.0,303.494534435,,POINT (127.3446491 36.31117186)
VDS0115,VL1880000216,AE3017060800,1850197800,1850015100,1850062800,3.0,104,000,20,도안중로,0,0,000,60.0,0,0.0,0.0,332.355453407,,POINT (127.3433037 36.30919403)
VDS0116,VL1880000217,AE3020099700,1860005501,1860002301,1860002300,3.0,103,000,32,일반국도32호선,0,0,000,70.0,0,0.0,0.0,371.189427684,계룡로,POINT (127.29154408299085 36.359972532092954)
VDS0117,VL1880000218,AW3020009700,1860005601,1860002300,1860002301,3.0,103,000,32,일반국도32호선,0,0,000,70.0,0,0.0,0.0,368.4889612,계룡로,POINT (127.29190803973503 36.3600898476515)
VDS0118,VL1880000224,AE3011012401,1830011305,1830004903,1830004901,2.0,103,000,4,일반국도4호선,0,0,000,70.0,0,0.0,0.0,170.173947921,옥천길,POINT (127.49297422659306 36.34478585372469)
VDS0118,VL1880000223,AW3011012401,1830011405,1830004901,1830004903,2.0,103,000,4,일반국도4호선,0,0,000,70.0,0,0.0,0.0,168.878552496,옥천길,POINT (127.49269078784538 36.344781430918985)
VDS0119,VL1880000225,AS3020086302,1860000402,1860000501,1860000304,1.0,103,000,4,일반국도4호선,0,0,000,40.0,0,0.0,0.0,1823.72408638,계백로,POINT (127.29098 36.27190598)
VDS0120,VL1880000226,AN3020086302,1860000302,1860000304,1860000501,2.0,103,000,4,일반국도4호선,0,0,000,80.0,0,0.0,0.0,1819.54110853,계백로,POINT (127.291112 36.27165198)
VDS0121,VL1880000227,AS3020016500,1860403000,1865863300,1860003102,4.0,105,000,32,국가지원지방도32호선,0,0,000,70.0,0,0.0,0.0,452.844568844,,POINT (127.338816 36.36649298)
VDS0122,VL1880000228,AN3020005100,1860403200,1860003102,1865863300,4.0,105,000,32,국가지원지방도32호선,0,0,000,70.0,0,0.0,0.0,452.842425663,,POINT (127.3391 36.36641998)
VDS0123,VL1880000229,AW3017060100,1850209500,1850066700,1850066500,4.0,104,003,10,도안호수교,0,0,000,60.0,0,0.0,0.0,361.38014994,,POINT (127.352836 36.33224598)
VDS0124,VL1880000230,AE3017060100,1850209600,1850066500,1850066700,4.0,104,003,10,도안호수교,0,0,000,60.0,0,0.0,0.0,364.115704809,,POINT (127.352844 36.33199698)
VDS0125,VL1880000231,AN3023003710,1870362400,1870021800,1870132200,3.0,107,000,-,구즉세종로,0,0,000,80.0,0,0.0,0.0,2392.38406456,,POINT (127.41590852261147 36.422445548468176)
VDS0126,VL1880000232,AS3023099820,1870362300,1870132200,1870021800,3.0,107,000,-,구즉세종로,0,0,000,80.0,0,0.0,0.0,2374.41504496,,POINT (127.41590876671796 36.42215890268048)
VDS0127,VL1880000233,AE3017097201,1850234600,1850010000,1850077000,3.0,104,000,54,구봉로,0,0,000,60.0,0,0.0,0.0,444.842240869,,POINT (127.3437712 36.29732628)
VDS0128,VL1880000234,AW3017097201,1850234500,1850077000,1850010000,3.0,104,000,54,구봉로,0,0,000,60.0,0,0.0,0.0,443.575419416,,POINT (127.343513 36.29758458)
VDS0129,VL1880000236,AN3014009500,1840027600,1840010000,1840001700,2.0,104,000,-,보문로,0,0,000,50.0,0,0.0,0.0,466.035833805,,POINT (127.42716567141741 36.31577783593141)
VDS0129,VL1880000235,AS3014009500,1840027500,1840001700,1840010000,2.0,104,000,-,보문로,0,0,000,50.0,0,0.0,0.0,477.113282438,,POINT (127.42701975718586 36.31563016556694)
VDS0001,VL1860000001,AS3020083000,1860015003,1860006902,1860006901,2.0,106,000,608,구즉로,0,0,000,60.0,0,0.0,0.0,290.837777205,,POINT (127.38400732022853 36.44654557837441)
VDS0001,VL1860000002,AN3020083000,1860014903,1860006901,1860006902,2.0,106,000,608,구즉로,0,0,000,60.0,0,0.0,0.0,283.840134426,,POINT (127.38413019965841 36.44657040706733)
VDS0002,VL1870000003,AE3023010800,1870009000,1870004400,1870004100,1.0,105,000,32,대청길,0,0,000,30.0,0,0.0,0.0,262.360467602,,POINT (127.43569850764523 36.453433838494746)
VDS0002,VL1870000003,AW3023010800,1870009000,1870004400,1870004100,1.0,105,000,32,대청길,0,0,000,30.0,0,0.0,0.0,262.360467602,,POINT (127.43569850764523 36.453433838494746)
VDS0004,VL1870000006,AN3020092100,1860013900,1860006400,1860006600,3.0,105,000,32,금병로,0,0,000,70.0,0,0.0,0.0,341.58454486,,POINT (127.39018740569851 36.435174251910276)
VDS0016,VL1850000018,AN3017000700,1850012300,1850005300,1850005400,4.0,105,000,57,대덕대로,0,0,000,60.0,0,0.0,0.0,274.148603185,,POINT (127.37951798446626 36.36601055574896)
VDS0002,VL1870000004,AE3023010800,1870008900,1870004100,1870004400,1.0,105,000,32,대청길,0,0,000,30.0,0,0.0,0.0,260.46350321,,POINT (127.38400732022853 36.44654557837441)
VDS0002,VL1870000004,AW3023010800,1870008900,1870004100,1870004400,1.0,105,000,32,대청길,0,0,000,30.0,0,0.0,0.0,260.46350321,,POINT (127.43575217033775 36.45333461941843)
VDS0007,VL1860000009,AW3020002800,1860010801,1860005101,1860005100,3.0,105,000,32,금병로,0,0,000,70.0,0,0.0,0.0,755.877581516,,POINT (127.36502076715661 36.403668681261664)
VDS0015,VL1850000017,AS3017094300,1850012502,1850005500,1850005401,4.0,105,000,57,대덕대로,0,0,000,60.0,0,0.0,0.0,149.432630521,,POINT (127.37944111911246 36.37030464207204)
VDS0044,VL1850000048,AN3017023800,1850052100,1850018100,1850019100,1.0,104,000,41,가장로,0,0,000,40.0,0,0.0,0.0,412.669252605,,POINT (127.38025157046944 36.32707633751994)
VDS0038,VL1830000041,AS3011099502,1830009800,1830004300,1830004200,4.0,104,000,17,계족로,0,0,000,60.0,0,0.0,0.0,335.654555399,,POINT (127.43918750822544 36.33510435681634)
VDS0039,VL1830000042,AN3011099502,1830009700,1830004200,1830004300,4.0,104,000,17,계족로,0,0,000,60.0,0,0.0,0.0,338.026362985,,POINT (127.43931570115117 36.33513684685156)
VDS0012,VL1870000014,AW3020002600,1860122100,1860043500,1860042900,2.0,104,004,43,문지로,0,0,000,70.0,0,0.0,0.0,526.209997536,,POINT (127.38449370560475 36.38908829336782)
VDS0011,VL1870000013,AE3020002600,1860122200,1860042900,1860043500,2.0,104,004,43,문지로,0,0,000,70.0,0,0.0,0.0,529.648323882,,POINT (127.38451053768425 36.38898050435854)
VDS0024,VL1850000027,AW3017092900,1850134200,1850041000,1850041200,4.0,104,000,48,한밭대로,0,0,000,60.0,0,0.0,0.0,167.695477134,,POINT (127.36297915869987 36.358546791246944)
