route_id,VDS_id,longitude,latitude,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,movers_diff,avg_speed_diff,location
0,VDS0022,127.354784,36.359818,5486.0,5380,56.38400000000001,60.10087293889428,-106.0,3.7168729388942694,봉명동 15-2(유성방향)
1,VDS0103,127.345698,36.348726,1249.0,1210,54.14800000000001,57.875,-39.0,3.7269999999999897,봉명동 1062
2,VDS0107,127.349163,36.3357,1276.0,1168,43.676,45.031662269129285,-108.0,1.355662269129283,원신흥동 523(가수원동방향 150M 교통표지판부근)
3,VDS0108,127.349503,36.33567,2745.0,2830,55.44,58.587125416204216,85.0,3.1471254162042186,원신흥동 514(VDS0107건너편)
4,VDS0109,127.343543,36.332378,1474.0,1382,59.416000000000004,58.0,-92.0,-1.416000000000004,원신흥동528-5
5,VDS0112,127.347811,36.32365,2410.0,2076,52.29599999999999,52.8255033557047,-334.0,0.5295033557047049,"도안동 1525(도안동 307-2, 1505동 도로변)"
6,VDS0113,127.348111,36.323514,1193.0,1407,37.632000000000005,50.317142857142855,214.0,12.68514285714285,"도안동 1528(도안동 306-2, VDS0112 건너편)"
7,VDS0123,127.352836,36.332246,2995.0,2339,55.583999999999996,60.52388797364085,-656.0,4.939887973640857,원신흥동49-4
