route_id,VDS_id,longitude,latitude,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,movers_diff,avg_speed_diff,location
0,VDS0023,127.354644,36.359348,4020.0,3914,56.80769230769231,54.022662889518415,-106.0,-2.7850294181738917,봉명동 670(둔산방향)
1,VDS0104,127.345495,36.348277,1343.0,1177,52.73076923076923,52.80295566502463,-166.0,0.07218643425539994,봉명동 1039-2(도안7단지예미지후문)
2,VDS0107,127.349163,36.3357,927.0,887,43.53846153846154,43.005102040816325,-40.0,-0.5333594976452147,원신흥동 523(가수원동방향 150M 교통표지판부근)
3,VDS0108,127.349503,36.33567,1108.0,1703,59.94615384615384,57.58004158004158,595.0,-2.3661122661122604,원신흥동 514(VDS0107건너편)
4,VDS0110,127.343517,36.33197,1608.0,0,64.13846153846154,0.0,-1608.0,-64.13846153846154,도안동 1511(예미지 11단지 버스정류장 뒤쪽)
5,VDS0112,127.347811,36.32365,657.0,1589,55.146153846153844,48.583657587548636,932.0,-6.562496258605208,"도안동 1525(도안동 307-2, 1505동 도로변)"
6,VDS0113,127.348111,36.323514,550.0,765,39.784615384615385,49.0,215.0,9.215384615384615,"도안동 1528(도안동 306-2, VDS0112 건너편)"
7,VDS0124,127.352844,36.331997,1897.0,1474,65.70769230769231,64.44472361809045,-423.0,-1.2629686896018626,도안동427-18
