start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE7359,RSE1515,1311,798.257530550888,185534.0,141.5209763539283,20.30601529201101
RSE8050,RSE7105,1276,0.0,0.0,0.0,
RSE7056,RSE7056,1229,0.0,0.0,0.0,
RSE7056,RSE7104,1192,1689.60926493978,175669.0,147.373322147651,41.27336796879121
RSE7194,RSE7196,1174,0.0,0.0,0.0,
RSE7196,RSE1607,1153,367.199874451212,159767.0,138.56634865568083,9.539975332027835
RSE8102,RSE8102,1142,0.0,0.0,0.0,
RSE7067,RSE7056,1142,2459.39271201087,269790.0,236.2434325744308,37.47750219659398
RSE1515,RSE7359,1053,798.257530550888,73189.0,69.50522317188984,41.34548425053363
RSE7106,RSE7105,974,0.0,0.0,0.0,
RSE1511,RSE7359,959,904.425261335136,99066.0,103.30135557872784,31.518762968459654
RSE8103,RSE1501,954,355.122992736789,142483.0,149.35324947589098,8.559859114808281
RSE7157,RSE8103,937,374.931681212414,74908.0,79.94450373532551,16.88363789002129
RSE1607,RSE7196,908,367.199874451212,135460.0,149.1850220264317,8.860940127019946
RSE1519,RSE1517,888,410.021203467698,55612.0,62.626126126126124,23.569657326575864
RSE1501,RSE8102,874,503.928485795461,517410.0,592.0022883295195,3.064418135920911
RSE1517,RSE1515,865,572.068668217746,88360.0,102.15028901734104,20.16095329142215
RSE7105,RSE7056,836,1121.96470863324,122316.0,146.311004784689,27.60607759493933
RSE1505,RSE1508,831,748.486377282559,107309.0,129.1323706377858,20.866580121690664
RSE1502,RSE1503,825,0.0,0.0,0.0,
RSE8103,RSE7157,792,374.931681212414,51839.0,65.45328282828282,20.62164026066928
RSE1515,RSE1517,773,572.068668217746,119421.0,154.49029754204398,13.330592524902183
RSE7359,RSE1511,768,904.425261335136,89267.0,116.23307291666667,28.012086913858248
RSE1517,RSE1519,736,410.021203467698,34262.0,46.55163043478261,31.70837022672385
RSE7060,RSE7056,717,0.0,0.0,0.0,
RSE7056,RSE7067,712,2459.39271201087,114256.0,160.47191011235955,55.17360488224918
RSE7203,RSE7196,689,0.0,0.0,0.0,
RSE7192,RSE1505,685,1185.65976794313,65766.0,96.00875912408759,44.45818489413616
RSE8103,RSE1505,672,441.994143225989,100608.0,149.71428571428572,10.628103443983704
RSE1523,RSE1519,668,0.0,0.0,0.0,
RSE8102,RSE1501,661,503.928485795461,108205.0,163.69894099848713,11.08218866779612
RSE1501,RSE8103,655,355.122992736789,167440.0,255.63358778625954,5.001075112717084
RSE7196,RSE7196,653,0.0,0.0,0.0,
RSE8102,RSE8099,607,992.692266170961,299054.0,492.67545304777593,7.253643623013851
RSE1508,RSE1511,607,321.468694631323,70133.0,115.54036243822075,10.016303188347385
RSE8103,RSE8103,594,0.0,0.0,0.0,
RSE7401,RSE7067,563,0.0,0.0,0.0,
RSE7056,RSE7105,538,1121.96470863324,126018.0,234.23420074349443,17.243736987421315
RSE7104,RSE7157,530,1190.0,93179.0,175.80943396226414,24.367293059594978
RSE8098,RSE8099,528,0.0,0.0,0.0,
RSE1503,RSE1505,520,1396.30486990086,169622.0,326.19615384615383,15.410045374151998
