route_id,origin_RSE_id,destin_RSE_id,lon_origin,lat_origin,lon_destin,lat_destin,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,avg_time_2023,avg_time_2024,movers_diff,avg_speed_diff,avg_time_diff,direction
0,RSE1515,RSE1517,127.348349,36.325866,127.348261,36.321167,598,1265,22.43675171185449,5.819186619820878,84.49832775919732,325.79604743083,667,-16.61756509203361,241.2977196716327,옥녀봉삼거리->도안동로입구
1,RSE1517,RSE1515,127.348261,36.321167,127.348349,36.325866,1092,2587,25.98718578652126,9.092872375911911,72.98443223443223,208.58755315036723,1495,-16.89431341060935,135.603120915935,도안동로입구->옥녀봉삼거리
2,RSE7359,RSE1515,127.347823,36.33207886,127.348349,36.325866,750,1613,18.9796946431516,8.171492789274113,137.36933333333334,319.06385616862985,863,-10.808201853877486,181.6945228352965,옥녀봉네거리->옥녀봉삼거리
3,RSE1515,RSE7359,127.348349,36.325866,127.347823,36.33207886,1566,3618,26.67594296109325,34.16846544918101,97.9367816091954,76.46102819237147,2052,7.492522488087758,-21.475753416823935,옥녀봉삼거리->옥녀봉네거리
4,RSE7359,RSE1607,127.347823,36.33207886,127.36794,36.334544,537,1023,16.632587539571393,14.056987584559582,401.1806331471136,474.6871945259042,486,-2.5755999550118105,73.5065613787906,옥녀봉네거리->도솔네거리
5,RSE1607,RSE7196,127.36794,36.334544,127.3720303,36.33399461,1090,1283,4.805539793219577,1.7724653078504669,240.38256880733945,651.7295401402962,193,-3.03307448536911,411.34697133295674,도솔네거리->안골네거리
6,RSE1513,RSE7359,127.3385757,36.33198127,127.347823,36.33207886,226,476,24.33506880127018,1.2509054096927397,133.76991150442478,2602.3550420168067,250,-23.08416339157744,2468.585130512382,위더스타워네거리->옥녀봉네거리
7,RSE1512,RSE1513,127.333091,36.332421,127.3385757,36.33198127,234,488,8.412946546494853,0.6097233932331775,198.67094017094016,2741.2561475409834,254,-7.803223153261675,2542.5852073700435,도로교통공단대전충남지부앞->위더스타워네거리
8,RSE7359,RSE1511,127.347823,36.33207886,127.348894,36.33949898,1023,2477,16.37352215121704,12.748601165087267,186.15933528836757,239.0916431166734,1454,-3.624920986129771,52.932307828305824,옥녀봉네거리->원신흥로입구
9,RSE1511,RSE7359,127.348894,36.33949898,127.347823,36.33207886,386,847,38.145908574728125,2.831296723376656,80.75906735751295,1088.0625737898465,461,-35.31461185135147,1007.3035064323335,원신흥로입구->옥녀봉네거리
10,RSE1511,RSE1508,127.348894,36.33949898,127.347094,36.341812,1001,1413,12.672436194895615,6.347448544270504,85.25274725274726,170.20382165605096,412,-6.324987650625111,84.9510744033037,원신흥로입구->원신흥북로종점
11,RSE1508,RSE1511,127.347094,36.341812,127.348894,36.33949898,374,533,24.33848726480713,2.033757425479152,44.1951871657754,528.8949343339588,159,-22.30472983932798,484.69974716818336,원신흥북로종점->원신흥로입구
12,RSE1505,RSE1508,127.3478138,36.34869141,127.347094,36.341812,470,767,29.39974453427723,17.470283877710795,88.94893617021276,149.6870925684485,297,-11.929460656566434,60.73815639823573,도안호반베르디움201동삼거리->원신흥북로종점
13,RSE1508,RSE1505,127.347094,36.341812,127.3478138,36.34869141,1069,1653,15.197366431770767,7.389155014638369,172.7043966323667,355.2032667876588,584,-7.808211417132398,182.49887015529208,원신흥북로종점->도안호반베르디움201동삼거리
14,RSE1504,RSE1505,127.3405407,36.34835572,127.3478138,36.34869141,180,424,14.044651333272276,0.7592133754657859,181.88333333333333,3364.6509433962265,244,-13.28543795780649,3182.7676100628933,진터지하차도->도안호반베르디움201동삼거리
15,RSE1505,RSE8103,127.3478138,36.34869141,127.3482089,36.3520523,899,1480,10.868292104161709,3.8761005974427207,122.25361512791991,342.78986486486485,581,-6.992191506718989,220.53624973694494,도안호반베르디움201동삼거리->용반네거리
16,RSE8103,RSE1505,127.3482089,36.3520523,127.3478138,36.34869141,377,650,21.15663507637096,3.179020824997533,63.87533156498674,425.0953846153846,273,-17.977614251373428,361.22005305039784,용반네거리->도안호반베르디움201동삼거리
17,RSE8102,RSE1501,127.3417161,36.35324983,127.3450559,36.35287005,652,1512,19.04310688989843,2.1871552923666,57.10276073619632,497.18187830687833,860,-16.855951597531828,440.079117570682,유성네거리->계룡로132번길
18,RSE1501,RSE8103,127.3450559,36.35287005,127.3482089,36.3520523,821,1493,19.15705020457044,1.4557455475256182,53.884287454324,709.0964501004688,672,-17.70130465704482,655.2121626461449,계룡로132번길->용반네거리
19,RSE8103,RSE7157,127.3482089,36.3520523,127.3514407,36.35071847,716,1386,13.328421138603971,4.69764356857281,75.24162011173185,213.479797979798,670,-8.63077757003116,138.23817786806615,용반네거리->만년교네거리
20,RSE7157,RSE7104,127.3514407,36.35071847,127.3570383,36.3560317,423,1004,24.328978426316255,3.2021946070504628,112.75886524822695,856.6962151394422,581,-21.126783819265793,743.9373498912153,만년교네거리->월평초교삼거리
21,RSE7104,RSE7105,127.3570383,36.3560317,127.3598975,36.35871541,785,1522,19.15334450759582,10.764974614715282,83.60127388535032,148.74572930354796,737,-8.388369892880537,65.14445541819764,월평초교삼거리->갑천대교네거리
22,RSE1505,RSE7157,127.3478138,36.34869141,127.3514407,36.35071847,88,228,8.372935886349469,1.452630525204902,169.98863636363637,979.811403508772,140,-6.920305361144567,809.8227671451356,도안호반베르디움201동삼거리->만년교네거리
23,RSE1511,RSE7157,127.348894,36.33949898,127.3514407,36.35071847,1,88,10.078649017767342,3.9868149603504586,453.0,1145.1818181818182,87,-6.091834057416883,692.1818181818182,원신흥로입구->만년교네거리
