route_id,VDS_id,longitude,latitude,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,movers_diff,avg_speed_diff,location
0,VDS0023,127.354644,36.359348,2926.0,2914,58.50769230769231,54.006116207951074,-12.0,-4.501576099741236,봉명동 670(둔산방향)
1,VDS0104,127.345495,36.348277,907.0,926,55.215384615384615,53.0997442455243,19.0,-2.1156403698603157,봉명동 1039-2(도안7단지예미지후문)
2,VDS0107,127.349163,36.3357,616.0,783,44.592307692307685,40.65873015873016,167.0,-3.9335775335775267,원신흥동 523(가수원동방향 150M 교통표지판부근)
3,VDS0108,127.349503,36.33567,776.0,1460,62.51538461538461,54.733333333333334,684.0,-7.7820512820512775,원신흥동 514(VDS0107건너편)
4,VDS0110,127.343517,36.33197,994.0,0,65.71538461538462,0.0,-994.0,-65.71538461538462,도안동 1511(예미지 11단지 버스정류장 뒤쪽)
5,VDS0112,127.347811,36.32365,489.0,1020,55.13076923076923,51.43693693693694,531.0,-3.693832293832294,"도안동 1525(도안동 307-2, 1505동 도로변)"
6,VDS0113,127.348111,36.323514,488.0,711,33.03846153846154,47.337278106508876,223.0,14.298816568047336,"도안동 1528(도안동 306-2, VDS0112 건너편)"
7,VDS0124,127.352844,36.331997,1226.0,1005,69.29230769230767,60.65425531914894,-221.0,-8.638052373158736,도안동427-18
