route_id,VDS_id,longitude,latitude,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,movers_diff,avg_speed_diff,location
0,VDS0022,127.354784,36.359818,7343.0,7221,58.208,59.161693936477384,-122.0,0.9536939364773858,봉명동 15-2(유성방향)
1,VDS0103,127.345698,36.348726,1846.0,1952,53.123999999999995,58.170103092783506,106.0,5.046103092783511,봉명동 1062
2,VDS0107,127.349163,36.3357,1150.0,1083,44.97199999999999,47.3377308707124,-67.0,2.3657308707124116,원신흥동 523(가수원동방향 150M 교통표지판부근)
3,VDS0108,127.349503,36.33567,6061.0,5521,52.263999999999996,54.185077519379846,-540.0,1.9210775193798497,원신흥동 514(VDS0107건너편)
4,VDS0109,127.343543,36.332378,2646.0,2157,52.708,55.09766763848396,-489.0,2.3896676384839637,원신흥동528-5
5,VDS0112,127.347811,36.32365,2850.0,2324,55.93199999999999,55.84928716904277,-526.0,-0.08271283095722026,"도안동 1525(도안동 307-2, 1505동 도로변)"
6,VDS0113,127.348111,36.323514,715.0,2313,44.007999999999996,48.72826086956522,1598.0,4.720260869565223,"도안동 1528(도안동 306-2, VDS0112 건너편)"
7,VDS0123,127.352836,36.332246,3659.0,3229,63.78000000000001,61.499278499278496,-430.0,-2.280721500721512,원신흥동49-4
