route_id,VDS_id,longitude,latitude,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,movers_diff,avg_speed_diff,location
0,VDS0022,127.354784,36.359818,2888.0,2777,57.25384615384617,60.12903225806452,-111.0,2.8751861042183506,봉명동 15-2(유성방향)
1,VDS0103,127.345698,36.348726,718.0,609,54.207692307692305,58.5763358778626,-109.0,4.368643570170292,봉명동 1062
2,VDS0107,127.349163,36.3357,698.0,636,43.26153846153846,44.54545454545455,-62.0,1.2839160839160897,원신흥동 523(가수원동방향 150M 교통표지판부근)
3,VDS0108,127.349503,36.33567,1501.0,1478,54.79230769230769,58.10913140311804,-23.0,3.316823710810354,원신흥동 514(VDS0107건너편)
4,VDS0109,127.343543,36.332378,796.0,736,59.54615384615385,58.83,-60.0,-0.7161538461538512,원신흥동528-5
5,VDS0112,127.347811,36.32365,1316.0,1112,51.76923076923077,52.29385964912281,-204.0,0.5246288798920418,"도안동 1525(도안동 307-2, 1505동 도로변)"
6,VDS0113,127.348111,36.323514,746.0,730,40.60000000000001,49.666666666666664,-16.0,9.066666666666656,"도안동 1528(도안동 306-2, VDS0112 건너편)"
7,VDS0123,127.352836,36.332246,1758.0,1260,55.776923076923076,59.53943217665615,-498.0,3.762509099733073,원신흥동49-4
