start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE7359,RSE1515,1227,724.2299999999882,169359.0,138.02689486552566,18.889275184666584
RSE7067,RSE7056,1216,515.4200000000023,171067.0,140.68009868421052,13.189584151239048
RSE1607,RSE7196,1155,320.8800000000036,181432.0,157.0839826839827,7.353824242691559
RSE1501,RSE8102,1100,350.01000000000533,134489.0,122.26272727272728,10.305970004981976
RSE1515,RSE7359,1072,725.709999999994,79360.0,74.02985074626865,35.29057499999971
RSE7196,RSE1607,1060,316.8800000000035,75540.0,71.26415094339623,16.007599682287708
RSE7056,RSE7104,1024,1.4524165827308475,136831.0,133.6240234375,0.03912993759147412
RSE8103,RSE1501,1008,0.29664419814168275,58361.0,57.89781746031746,0.018444894128211275
RSE1505,RSE1508,991,726.4100000000007,124929.0,126.0635721493441,20.744105179742114
RSE1519,RSE1517,900,376.95000000000636,54688.0,60.76444444444444,22.332467817437475
RSE1517,RSE1515,892,526.849999999992,60470.0,67.7914798206278,27.9778521580945
RSE1517,RSE1519,822,373.8500000000001,65860.0,80.12165450121654,16.79770604312178
RSE1515,RSE1517,821,526.6300000000037,67019.0,81.63093788063337,23.224870976887317
RSE1505,RSE8103,818,369.07999999999726,103446.0,126.46210268948656,10.506610057421184
RSE7105,RSE7056,815,1042.819999999984,73331.0,89.97668711656442,41.72360775115508
RSE8103,RSE7157,805,278.5700000000048,60775.0,75.4968944099379,13.283354339778098
RSE1511,RSE1508,790,300.1000000000039,36911.0,46.72278481012658,23.122765571239228
RSE7157,RSE8103,751,279.1799999999953,91381.0,121.67909454061251,8.259824777579446
RSE7359,RSE1511,744,846.6899999999924,74311.0,99.88037634408602,30.517345964930897
RSE1508,RSE1511,732,298.7900000000016,32102.0,43.8551912568306,24.527176126098198
RSE1501,RSE8103,717,286.7399999999981,37065.0,51.69456066945607,19.96852254148105
RSE1511,RSE7359,712,855.7299999999914,71006.0,99.72752808988764,30.89044779314393
RSE1508,RSE1505,696,729.0700000000061,87300.0,125.43103448275862,20.925060618556877
