start_rse,end_rse,frequency,distance,total_time,avg_time,avg_speed
RSE7359,RSE1515,1334,724.2299999999876,200942.0,150.6311844077961,17.308686844959944
RSE7067,RSE7056,1221,515.4200000000026,216186.0,177.05651105651106,10.479772751242038
RSE1607,RSE7196,1214,320.88000000000363,204660.0,168.5831960461285,6.852213192612214
RSE7196,RSE1607,1108,316.8800000000036,89422.0,80.7057761732852,14.134899062870593
RSE1515,RSE7359,1090,725.7099999999936,73605.0,67.52752293577981,38.68875810067217
RSE7056,RSE7104,1076,1.4524165827308475,146498.0,136.15055762081784,0.03840380670634556
RSE1501,RSE8102,1002,350.01000000000494,118561.0,118.32435129740519,10.648999856614047
RSE1505,RSE1508,982,726.4100000000003,127316.0,129.64969450101833,20.17032134217224
RSE8103,RSE1501,961,0.296644198141683,51573.0,53.665972944849116,0.019899371141701403
RSE1519,RSE1517,872,376.9500000000062,54087.0,62.02637614678899,21.878111930778548
RSE1517,RSE1515,869,526.8499999999924,59256.0,68.18872266973533,27.814863304981372
RSE1517,RSE1519,845,373.84999999999945,53618.0,63.45325443786982,21.210259614308598
RSE1515,RSE1517,843,526.6300000000037,73320.0,86.97508896797153,21.797827659574622
RSE7105,RSE7056,835,1042.819999999983,78949.0,94.54970059880239,39.70559373772878
RSE7157,RSE8103,783,279.17999999999523,104181.0,133.0536398467433,7.553705416534556
RSE1505,RSE8103,749,369.0799999999955,107515.0,143.54472630173564,9.256264818862372
RSE1508,RSE1511,745,298.7900000000017,33121.0,44.45771812080537,24.1947640469794
RSE1504,RSE8102,744,616.6300000000037,145990.0,196.2231182795699,11.312978916364203
RSE8103,RSE7157,728,278.57000000000465,51171.0,70.28983516483517,14.267383009908194
RSE1511,RSE1508,722,300.1000000000037,31075.0,43.04016620498615,25.101204183427505
RSE7359,RSE1511,722,846.6899999999939,67716.0,93.78947368421052,32.49921212121189
RSE1501,RSE8103,700,286.73999999999825,41364.0,59.09142857142857,17.468929503916343
RSE8102,RSE1504,671,0.5542884457626654,97209.0,144.87183308494784,0.013773818983677383
RSE1511,RSE7359,656,855.7299999999922,61778.0,94.17378048780488,32.712162387904776
RSE8103,RSE1505,628,0.37538442856702353,85832.0,136.6751592356688,0.009887560771091514
RSE1508,RSE1505,621,729.070000000006,80651.0,129.87278582930756,20.209407099726146
RSE8099,RSE8102,576,234.9499999999984,75755.0,131.51909722222223,6.43115728334759
RSE7104,RSE7157,575,757.3699999999963,68794.0,119.64173913043479,22.789137134052275
RSE8102,RSE1501,555,0.3020567206868741,36104.0,65.05225225225226,0.016715857742421184
RSE7056,RSE7067,536,513.4200000000045,43598.0,81.33955223880596,22.723410064682067
RSE1513,RSE1607,475,2.6457548199643255,169680.0,357.22105263157897,0.026663370710390124
RSE7056,RSE7105,473,1041.4600000000084,59142.0,125.03594080338266,29.985426397484268
RSE7104,RSE8103,464,0.9060926690415884,126809.0,273.29525862068965,0.011935566043159944
RSE1503,RSE1505,445,1.524966708175305,69671.0,156.56404494382022,0.035064756735181626
RSE1607,RSE7359,432,1868.199999999989,145971.0,337.8958333333333,19.904122325667313
RSE7359,RSE1607,430,1853.5200000000107,129772.0,301.7953488372093,22.109923250007835
RSE7104,RSE7056,418,1.452416582730847,43424.0,103.88516746411483,0.05033153264769204
RSE8102,RSE8099,391,235.08999999999781,43447.0,111.11764705882354,7.616467972472137
RSE7104,RSE7105,343,444.7899999999987,21740.0,63.38192419825073,25.263417295308113
RSE1513,RSE7359,331,904.25,48439.0,146.3413897280967,22.244561200685396
RSE1505,RSE1503,318,1.524966708175316,58656.0,184.45283018867926,0.029763057274943765
RSE1505,RSE1504,312,709.75,37277.0,119.4775641025641,21.385605064785256
RSE1607,RSE1513,301,2.6457548199643175,93872.0,311.86710963455147,0.03054094855668714
RSE7157,RSE1505,277,0.39535970957556926,38941.0,140.5812274368231,0.010124359990466543
RSE1512,RSE1513,246,464.27999999999906,32726.0,133.03252032520325,12.563905396320942
RSE7105,RSE7104,244,447.0200000000008,19758.0,80.97540983606558,19.87358882477987
RSE8103,RSE7104,226,0.9060926690415928,40606.0,179.67256637168143,0.018154878479343935
RSE7157,RSE7104,224,762.029999999999,23203.0,103.58482142857143,26.483687109425468
RSE1508,RSE7359,187,1.0842435580462197,24757.0,132.3903743315508,0.029483086128235053
RSE1504,RSE1505,150,709.5800000000014,33192.0,221.28,11.544143167028222
RSE8102,RSE8103,146,1195.9200000000021,17092.0,117.06849315068493,36.77600936110468
RSE1503,RSE1504,146,817.5500000000019,24932.0,170.76712328767124,17.235050537461937
RSE1513,RSE1512,140,464.349999999999,23425.0,167.32142857142858,9.990710779082155
RSE1504,RSE1503,137,814.7200000000009,31916.0,232.96350364963504,12.589920541421245
RSE7359,RSE1513,135,904.0500000000019,46009.0,340.8074074074074,9.54961637940405
RSE1505,RSE7104,99,1.1612998625655249,22079.0,223.02020202020202,0.018745743512765662
RSE7359,RSE1517,88,1.2139780331802112,16620.0,188.86363636363637,0.023140086697442292
RSE1511,RSE1505,80,1.0267198619547873,11027.0,137.8375,0.02681557270726206
RSE7104,RSE1505,71,1.1612998625655235,35594.0,501.32394366197184,0.00833927754317435
RSE1501,RSE1504,64,847.9100000000013,16941.0,264.703125,11.53169612183462
RSE1515,RSE1519,64,0.9451612241436411,9911.0,154.859375,0.021972065991594684
RSE8103,RSE8102,62,634.6600000000005,24097.0,388.66129032258067,5.878578744242026
RSE8103,RSE7105,55,1452.179999999999,19231.0,349.6545454545454,14.951465862409641
