,rse_id,node_nm,latitude,longitude
0,RSE7056,갑천네거리,36.364979848357336,127.36885426400845
1,RSE7059,만년네거리,36.36453705869919,127.37918039625778
2,RSE7060,둔산대공원삼거리,36.36499536182605,127.39029450152967
3,RSE7067,강변아파트삼거리,36.368194539652485,127.3733857003476
4,RSE7068,대덕대교네거리,36.37065939254088,127.3797920427502
5,RSE7092,건축사회관네거리,36.35044315347781,127.37304781745897
6,RSE7097,방죽네거리,36.355644587056084,127.37906658279506
7,RSE7109,선사유적네거리,36.359919914395455,127.37973727771157
8,RSE7112,갈마네거리,36.353144061306004,127.36915340830927
9,RSE7114,보라매네거리,36.357926259333354,127.38318987221972
10,RSE7116,갈마공원삼거리,36.35576226444588,127.37405420313128
11,RSE7117,갈마공원네거리,36.35798601310753,127.3740169274436
12,RSE7120,둔산네거리,36.35792244653115,127.37964004849347
13,RSE7121,파랑새네거리,36.35335881343455,127.37903639622373
14,RSE7124,은하수네거리,36.35104897073348,127.3786908585032
15,RSE7125,큰마을네거리,36.34846553278035,127.37624204274138
16,RSE7126,유승기업사네거리,36.344305598861894,127.37978915873357
17,RSE7129,서대전세무소네거리,36.35331578139697,127.38256778897387
18,RSE7130,느티네거리,36.35552941759482,127.38261147940716
19,RSE7131,샘머리네거리,36.357807914036385,127.38640472107895
20,RSE7132,가마골네거리,36.355507711112175,127.38639635559602
21,RSE7142,둔지미네거리,36.355669179117776,127.37680263491285
22,RSE7144,모정네거리,36.35777811937351,127.38986865727689
23,RSE7194,경성큰마을네거리,36.34663546390719,127.374934970953
24,RSE7196,안골네거리,36.33399460616299,127.37203027669943
25,RSE7385,둥지네거리,36.35943982232776,127.389901111161
26,RSE7401,엑스포지하차도,36.370785423697626,127.38302173875675
27,RSE8069,과학공원네거리,36.374887774563696,127.37989800955448
