VDS_ID,VDS_SECTN_ID,ROUTE_DIR,LANE_CNT,ETL_TYPE,LINK_ID,START_NODE_ID,END_NODE_ID,SECTN_LEN,USE_YN,POI,X,Y
VDS0067,VL1880000073,3502,2,603,AW3023007600,AP3011000035,AP3011000069,721.75,Y,1,127.4447358,36.36250297
VDS0083,VL1880000093,3502,2,603,AE3014017900,AP3011000021,AP3011000069,485.96,Y,0,127.4026598,36.30604277
VDS0117,VL1880000218,3502,3,603,AW3020009700,AP3011000019,AP3014000083,485.27,Y,0,127.292053,36.36002798
VDS0056,VL1840000061,3502,2,603,AS3014019300,AP3014000083,AP3011000019,481.13,Y,0,127.3772423,36.27409915
VDS0059,VL1830000065,3502,5,603,AE3017009000,AP3014000037,AP3014000038,332.31,Y,0,127.3615415,36.35342989
VDS0018,VL1850000021,3502,4,603,AW3017000800,AP3014000038,AP3014000037,336.3,Y,0,127.3729034,36.36515514
VDS0030,VL1850000033,3502,3,603,AS3017010400,AP3014000089,AP3014000090,298.59,Y,1,127.4016897,36.35376163
VDS0106,VL1880000206,3501,4,603,AN3020064000,AP3014000090,AP3014000089,300.8,Y,0,127.3402822,36.34424369
VDS0127,VL1880000233,3502,4,603,AE3017097201,AP3014000005,AP3014000096,441.71,Y,0,127.3437712,36.29732628
VDS0091,VL1880000105,3502,3,603,AW3020016900,AP3014000096,AP3014000005,441.07,Y,0,127.4041235,36.41346679
VDS0083,VL1880000094,3501,2,603,AW3014017900,AP3014000012,AP3014001113,439.4,Y,0,127.4026598,36.30604277
VDS0097,VL1880000112,3502,5,603,AS3020005800,AP3014001113,AP3014000012,431.25,Y,0,127.3257952,36.37433045
VDS0058,VL1830000064,3502,3,603,AN3011006600,AP3014000056,AP3014000032,1348.73,Y,0,127.478802,36.25770198
VDS0027,VL1850000030,3502,3,603,AW3017005200,AP3014000032,AP3014000116,857.64,Y,0,127.3849154,36.35814563
VDS0038,VL1830000041,3502,4,603,AS3011099502,AP3014000016,AP3014000017,387.98,Y,1,127.4385959,36.33653181
VDS0051,VL1840000055,3502,2,603,AW3011010000,AP3014000017,AP3014000016,378.43,Y,1,127.4411923,36.31400213
VDS0072,VL1880000080,3502,3,603,AN3011005300,AP3017000165,AP3017000071,170.48,Y,0,127.4310328,36.33530376
VDS0114,VL1880000215,3502,3,603,AW3017060800,AP3017000071,AP3017000072,281.26,Y,0,127.3446491,36.31117186
VDS0055,VL1850000059,3502,2,603,AN3017031000,AP3017000180,AP3017000040,632.75,Y,0,127.3495088,36.27900079
VDS0075,VL1880000083,3502,3,603,AW3014008800,AP3017000040,AP3017000180,644.61,Y,0,127.434969,36.32091381
VDS0098,VL1880000113,3502,5,603,AN3020005800,AP3017000027,AP3017000142,526.26,Y,0,127.3263579,36.37494666
