RSE_ID,INST_LOCAT,LOCAL_NM,POINT_X,POINT_Y
RSE7205,탄방동 91-8 롯데백화점 건너/가디스 앞,서대전,127.3895845,36.34156618
RSE7206,괴정동 80-1 미도니스 앞,서대전,127.3845083,36.33810897
RSE7207,괴정동 87-1 시골장터 앞,서대전,127.3822826,36.33638738
RSE7208,가장동 38-58 한국씨앤씨 렌터카 앞 교통섬,서대전,127.3815794,36.32874177
RSE7209,가장동 49-5 삼성사이버아파트 건너편/대우부동산 앞,서대전,127.3868785,36.33303522
RSE7210,가장동 39-1 삼성사이버아파트 앞/운창지물포 앞,서대전,127.3884675,36.33475216
RSE7213,탄방동 60-1 자동차부품 선경상사 건너,서대전,127.3918502,36.34333438
RSE7214,용문동 227-8 코아카써비스 앞,서대전,127.398078,36.34175668
RSE1501,봉명동 1017-1 쌍용자동차 앞,자가망,127.3450559,36.35287005
RSE1502,구암동 235 유성생명과학고 건너편,유성,127.3260684,36.34854501
RSE1503,구암동 620-8 유성생명과학고 앞,자가망,127.3307907,36.34838311
RSE1504,봉명동 1028-1 진터네거리,자가망,127.3405407,36.34835572
RSE1505,봉명동 1061 계룡대네거리,자가망,127.3478138,36.34869141
RSE1506,상대서로 46 상원초등학교,자가망,127.33271,36.34284387
RSE1507,봉명동 1070,자가망,127.339809,36.34302666
RSE1508,원신흥동 582 원신흥삼거리,자가망,127.3470132,36.34185966
RSE1509,상대동 498,자가망,127.3360364,36.33835752
RSE1510,원신흥남로 42번길 5-37 휴먼시아 10단지 앞,자가망,127.3384637,36.33809158
RSE1511,원신흥동 513-6,자가망,127.3486158,36.33961287
RSE1512,원신흥동 609,자가망,127.3330664,36.33244779
RSE1513,동서대로 682 팔복빌딩앞,자가망,127.3385757,36.33198127
RSE1514,대전광역시 서구 복수동611 101동건너편,남대전,127.3787369,36.30416952
RSE1515,도안동 1052,자가망,127.3481831,36.32558774
RSE1516,원도안로 200 도안초등학교 앞,자가망,127.3439223,36.32093557
RSE1517,도안동로 183 대전도안아이파크 건너편,자가망,127.3481285,36.32115387
RSE1518,도안동 1367 도안중학교,자가망,127.3452061,36.31711807
RSE1519,도안동 1366 도안중학교,자가망,127.3482713,36.31744487
RSE1520,관저동 1917 원앙네거리,자가망,127.335072,36.30770612
RSE1521,관저동 994 관저네거리,자가망,127.3409386,36.30801779
RSE1522,원도안로 80 도솔초등학교 앞,자가망,127.3469368,36.31156201
RSE1523,도안동 1373,자가망,127.3497603,36.31262821
RSE1524,원신흥동 611 대전중앙 감리교회 앞,자가망,127.3450552,36.33863822
RSE1601,복용동 175-3,0,127.3198833,36.341489
RSE1602,학하동 368,0,127.3144753,36.3353606
RSE1603,자운동 515-22,0,127.3509688,36.3933398
RSE1604,삼정동 11-9,0,127.4780223,36.3325283
RSE1605,덕명동 156-14,0,127.2965848,36.3489728
RSE1606,노은동 499-9,0,127.3143556,36.367168
RSE1607,변동 산 10-65,0,127.368018,36.334429
RSE2101,유성구 외삼동 486-10,유성,127.304036,36.406233
RSE2102,유성구 지족동 600,유성,127.308468,36.3877
RSE2103,유성구 지족동 1040,유성,127.302283,36.381513
RSE2104,유성구 지족동 1046-1,유성,127.302542,36.37796
RSE2105,유성구 덕명동 569,유성,127.303332,36.357702
RSE2106,유성구 학하동 652-104,유성,127.305657,36.341602
RSE2107,서구 관저동 1160,둔산,127.326604,36.297196
RSE2108,유성구 죽동 799,유성,127.334991,36.371142
RSE2109,유성구 궁동 산 1-1,유성,127.341809,36.37513
RSE2110,유성구 궁동 358,유성,127.340101,36.369942
RSE5070,은행동 66-51 라쌍데 앞/중교하상도로 둔산방향,대전,127.4311209,36.32769758
RSE5110,판암동 239-2,동대전,127.4622791,36.32216268
RSE5176,대전광역시 동구 용전동80-9 한진지업사 앞,용전,127.4283223,36.35156689
RSE5177,용전동 25-6 동보부동산 앞,용전,127.4319789,36.35884111
RSE5179,성남1동 505-4 금강병원/대원약국 앞,용전,127.4319638,36.34714318
RSE5182,가양1동 451-1 PIZZA HUT 앞,용전,127.4382195,36.34932552
RSE5184,용전동 66-1 홈플러스 앞,용전,127.4384845,36.35381643
RSE5187,가양1동 414-8 달구지막창 앞,용전,127.4454968,36.34544256
RSE5231,대전광역시 동구 삼성동457 삼성네거리,용전,127.4197277,36.33922509
RSE5241,삼성2동 363-11,용전,127.4214498,36.34061192
RSE5242,삼성1동 303-20 한빛종합건설 앞,용전,127.4240093,36.34241058
RSE5243,삼성1동 107-7 삼성기원 앞,용전,127.4298225,36.33805583
RSE5244,삼성1동 112-1 /삼성시장3가 한국인삼공사 정관장 앞,대전,127.4305364,36.33545255
RSE5245,중동 77-1 금석당 앞,대전,127.4325101,36.33092524
RSE5246,원동 20-15,동대전,127.4341205,36.32900021
RSE5248,중동 26-16,대전,127.429766,36.33032963
RSE5251,중동 47-18 롯데관광 앞,대전,127.4263882,36.33310659
RSE5252,대전광역시 동구 중동1-64,대전,127.428468,36.3341634
RSE5253,삼성2동 280-7 삼선교 앞 서울특수가발 앞/개벽룸미시촌 앞,용전,127.4241536,36.33542883
RSE5254,삼성동 283-10,용전,127.4257112,36.33654076
RSE5258,성남2동 52-3 창고형할인마트 앞,용전,127.4358948,36.34043947
RSE5261,대2동 179-3 /대동5가 LG마트 건너,동대전,127.4429332,36.32975004
RSE5263,가양1동 288-6 기아자동차 앞,용전,127.4423839,36.34357487
RSE5265,대전광역시 동구 가양2동182-4 온누리칠성약국 앞,용전,127.4480206,36.3419845
RSE5266,자양동 67-17 우송공대;우송꽃집 앞,용전,127.4469434,36.33631116
RSE5333,인동 원동네거리 한솔조명앞,동대전,127.4348564,36.32682432
RSE5335,인동 116-18 충청하나은행 건너/칼라스튜디오 앞,동대전,127.4380081,36.32192991
RSE5336,삼성동 999-999 무지개페인트 앞/현암교 하상도로 금산방향,용전,127.4185705,36.33895315
RSE5337,효동 290-5 효동공인중개사 앞,동대전,127.4402683,36.31494516
RSE5340,신흥동 11-5 동부인력개발 앞,동대전,127.4445108,36.32138303
RSE5341,대전광역시 동구 대동86-24 동서해장국 앞,동대전,127.4444278,36.32641328
RSE5342,대동 202-9 동키치킨 앞,동대전,127.4461578,36.32407336
RSE5343,용운동 487-19,동대전,127.4498798,36.32687536
RSE5345,대전광역시 동구 용운동451 현대이용원앞,동대전,127.4539025,36.32843668
RSE5346,용운동 305-3,동대전,127.4615071,36.32758253
RSE5347,판암동 310-13 윤석현정형외과 앞 가로등,동대전,127.4562306,36.31717364
RSE5348,판암동 351-14 판암주공아파트 앞,동대전,127.4620796,36.31845147
RSE5382,대성동 223-18 /대성3가 만능공사철물 앞 삼각지,동대전,127.4601486,36.29610503
RSE5383,삼성2동 283-54 대명고물상 앞/삼선교 하상도로 금산방향,용전,127.4234944,36.33561365
RSE5384,가오동 140,동대전,127.4587232,36.29947286
RSE5385,대전광역시 동구 가오동624 가오연합크리닉 4거리(ITS용),동대전,127.4533,36.30459
RSE5386,대전광역시 동구 가오동644-1  홈플러스 4거리,동대전,127.4572783,36.30696819
RSE5387,가오동 495번지,동대전,127.4556385,36.31001202
RSE5390,가양2동 424-6,용전,127.4424171,36.35108991
RSE5391,중동 47-18 롯데관광 앞/영교 하상도로 금산방향,대전,127.4259678,36.33280394
RSE5392,대전광역시 동구 원동999-999 량샹데 앞;중교하상도로 둔산방향,대전,127.4309217,36.32805623
RSE5394,대전광역시 동구 원동85-44 대흥교 다리밑,대전,127.4325982,36.3260096
RSE5396,인동 999-999 보문교 하상도로 금산방향,동대전,127.4363315,36.32150797
RSE5398,효동 288-3 묵가네 추어탕집/문창교 하상도로 금산방향,동대전,127.4394237,36.31508879
RSE5514,소제동 289 삼호상사 주유소 앞,용전,127.4395177,36.33339494
RSE5522,가오동 404-1 천동네거리,동대전,127.4502354,36.30842677
RSE5524,대전광역시 동구 세천동232-1 대청가든 앞,동대전,127.4969986,36.3474077
RSE5901,낭월동 592 낭월교네거리,동대전,127.4683514,36.28033457
RSE5902,대전광역시 동구 낭월동399 효광원앞삼거리(ITS용),동대전,127.4645506,36.28025245
RSE5957,대전광역시 동구 비룡동546 동신고교 앞,동대전,127.4750837,36.33111221
RSE6061,오류동 184-20 합동카센타 앞,서대전,127.4029287,36.32776038
RSE6087,대전광역시 중구 중촌동183-5,대전,127.4111158,36.3455712
RSE6200,문화2동 644-40 문화2동 자율방범초소 앞,남대전,127.4008514,36.31143415
RSE6221,태평2동 349-13 예꼬선교원 앞,서대전,127.3973997,36.33182536
RSE6222,대전광역시 중구 용두동139-8,대전,127.4009696,36.3316386
RSE6225,선화동 156-8 대전특수강 앞,대전,127.4129653,36.33460951
RSE6226,대전광역시 중구 중촌동282 금호아파트 앞,대전,127.4066477,36.34027495
RSE8017,봉산동 839 보덕초등학교 앞 신구교 앞,신탄진,127.3911778,36.43624557
RSE8018,대전광역시 유성구 송강동73-2 한아름아파트 115동 건너,신탄진,127.3861499,36.42875412
RSE8019,화암동 999-999 화암4거리,북대전,127.3750422,36.40756626
RSE8021,장동 363-6 한국기계연구원 앞,북대전,127.3551338,36.39746459
RSE8022,대전광역시 유성구 전민동284-3 공동주택 113동,북대전,127.3968687,36.39984036
RSE8023,전민동 466-3 엑스포코아 건너 앞 교통섬,북대전,127.4047131,36.3997871
RSE8024,지족동 999-999 지족3거리,유성,127.3202402,36.38425739
RSE8026,대전광역시 유성구 지족동900-1,유성,127.3181371,36.37575992
RSE8027,지족동 921 장대파출소 앞,유성,127.3229898,36.37585313
RSE8028,지족동 881-1 선사공원 앞,유성,127.3244341,36.37688473
RSE8029,신성동 368-12 유성구노인복지회관 건너,북대전,127.3430134,36.38366728
RSE8030,신성동 97-9 쌍용중앙연구소 앞/북청가든 앞,북대전,127.3539789,36.38560386
RSE8031,어은동 52 항공우주연구소 건너/한국자원연구소 앞,북대전,127.3574906,36.37916227
RSE8032,가정동 산16-5,북대전,127.3643921,36.38410552
RSE8033,도룡동 382 롯데호텔 앞/이트엘어학원 건,북대전,127.3789415,36.38877464
RSE8034,도룡동 385-10 대덕연구단지우체국 대각/도룡난원 앞,북대전,127.3788727,36.38593253
RSE8036,문지동 146-1 문지3거리 LG칼덱스중앙연구소 대각선 건너,북대전,127.4052302,36.39024009
RSE8037,대전광역시 유성구 원촌동999-999 원천교4거리;분원마을 금고 앞,북대전,127.4071209,36.38019923
RSE8041,노은동 492 새미래아파트 816동 건너,유성,127.3176493,36.37199865
RSE8042,노은동 521 선사박물관 앞,유성,127.3232244,36.37197889
RSE8043,노은동 551-1 중앙부동산 앞,유성,127.3181138,36.36747178
RSE8044,대전광역시 유성구 노은동529 월드컵경기장 건너 SK주유소 건너 호수공원,유성,127.3236925,36.3670933
RSE8046,장대동 17-1 아주조경 앞,유성,127.3323,36.36667833
RSE8047,장대동 301-30 현대 OIL BANK 알 CC TV,유성,127.3266691,36.35938504
RSE8048,대전광역시 유성구 갑동104-2 현충교 맞은편,유성,127.2992459,36.36017182
RSE8050,장대동 140-1 충남대학교 건너/대우아파트 앞,유성,127.3380433,36.36464509
RSE8051,어은동 106,유성,127.3538369,36.36039955
RSE8053,구성동 400 한국과학기술원 정문 건너편 자연녹지지역,북대전,127.3640376,36.36530518
RSE8055,구성동 20 성두산공원 건너편,북대전,127.3706405,36.36932106
RSE8066,궁동 424-1 미래부동산 앞,유성,127.350001,36.36047839
RSE8069,도룡동 3-1 대덕대교 건너 우측 엑스포주차장앞,북대전,127.379898,36.37488777
RSE8071,도룡동 4,북대전,127.3933909,36.37452492
RSE8079,대전광역시 유성구 대정동591 진잠화물터널입구 삼거리 앞,구봉,127.3156429,36.31464597
RSE8084,노은동 55-1 월드컵경기장 앞 4거리,유성,127.3266641,36.36706707
RSE8093,구암동 515-4 수안보별장 가든 앞,유성,127.305593,36.360434
RSE8095,장대동 211-1 현대자동차 앞,유성,127.3320329,36.35764064
RSE8096,봉명동 563-4,유성,127.3316121,36.35701014
RSE8098,봉명동 466-2 LA VORA앞,유성,127.3367774,36.35485604
RSE8099,봉명동 448-16 미건의료기 앞,유성,127.3387753,36.35433534
RSE8100,봉명동 557-19 진터벌주유소 앞,유성,127.3379667,36.35062675
RSE8102,봉명동 326-27,유성,127.3417161,36.35324983
RSE8103,대전광역시 유성구 봉명동542-10 만년교앞(ITS용),유성,127.3482089,36.3520523
RSE8160,전민동 462-1 수자원연구소 앞,북대전,127.3974143,36.40572961
RSE8181,구암동 425-9 계룡로노은농산물시장 입구,유성,127.318017,36.35926746
RSE8321,관평동 615 북대전IC 앞 묵마을 입구,북대전,127.3779852,36.41712705
RSE8322,대전광역시 유성구 관평동산12-2 황제충전소앞 3거리(ITS용),신탄진,127.3801995,36.42012588
RSE8323,대전광역시 유성구 관평동666 401동 앞 대우푸르지오앞3거리(ITS용),신탄진,127.3851212,36.41903004
RSE8324,대전광역시 유성구 용산동352-2 우림루미아트앞4거리(ITS용),신탄진,127.3948111,36.41683116
RSE8325,대전광역시 유성구 탑립동851 정도VIT앞 3거리(ITS용),신탄진,127.4115444,36.41158482
RSE8326,대전광역시 유성구 관평동520 용산교네거리(ITS용),신탄진,127.4020487,36.4262343
RSE8327,대전광역시 유성구 관평동1316 웅진에너지 앞3거리,신탄진,127.3938542,36.43212758
RSE8328,대전광역시 유성구 관평동804 남일빌딩앞 4거리(ITS용),신탄진,127.3907127,36.426867
RSE8380,원내동 388-22 단동성 건너편,구봉,127.3204603,36.29349871
RSE8501,대전광역시 유성구 봉산동709 협진운수 앞,신탄진,127.3841127,36.44527124
RSE8504,대전광역시 유성구 원내동305 한아름아파트 111동 건너/진잠중학교 앞,구봉,127.3175776,36.29566658
RSE8505,봉산동 171 유성제일교회 앞,신탄진,127.3884513,36.4340928
RSE8506,장대동 271-5,유성,127.3355738,36.36067618
RSE8507,궁동 479-11 충대정문오거리 앞,유성,127.3443003,36.36191535
RSE8523,대전광역시 유성구 반석동999 삼부르네상스 108동 앞 신호등,유성,127.3288443,36.3523849
RSE8524,구암동 275,유성,127.324782,36.346672
RSE8904,반석동 612-1 반석마을A 7단지 정문,유성,127.3102562,36.39577487
RSE8905,반석동 998 외삼네거리 앞 신호등,유성,127.3117725,36.39541189
RSE8906,대전광역시 유성구 반석동309-1 양지공인중개사 앞 신호등,유성,127.30894,36.39051153
RSE8907,반석동 621-4 김밥나라 앞,유성,127.3120544,36.39185007
RSE8908,반석동 999-1 뉴타운프라자 앞 신호등,유성,127.3152014,36.39205145
RSE8909,대전광역시 유성구 반석동999-2 반석마을아파트 110동 건너편 신호등,유성,127.313072,36.38714933
RSE8910,대전광역시 유성구 반석동999-3 노은8블럭 호반리젠시빌 304동 앞 신호등,유성,127.3168434,36.38624165
RSE8911,반석동 999-4 반석네거리 앞 신호등,유성,127.3188826,36.38713404
RSE8912,하기동 514 하기초등학교앞 신호등,유성,127.3226223,36.38751295
RSE8913,하기동 512,유성,127.331333,36.39063146
RSE8914,대전광역시 유성구 지족동999 유성구장애인종합복지관 앞 신호등,유성,127.3225203,36.38072029
RSE8915,대전광역시 유성구 지족동999 유성여고 입구 신호등,유성,127.3276275,36.38073638
RSE8916,탑립동 803,신탄진,127.4068398,36.41307363
RSE9001,신일동 1697 동아연필(주)건너/신구교 앞,신탄진,127.3952668,36.43847463
RSE9002,문평동 49-3 (주)BYC 앞,신탄진,127.4002583,36.44209168
RSE9003,신일동 1694-10 효성T 앞/현대정유공단주유소 건너,신탄진,127.4049158,36.44487384
RSE9005,덕암동 176-4 대덕여고 앞,신탄진,127.4190499,36.44863412
RSE9007,석봉동 145-5 신탄진네거리 델리암스 베이커리 앞,신탄진,127.4290604,36.45090525
RSE9008,대전광역시 대덕구 신탄진동84-5 사보이장 여관 앞,신탄진,127.4346445,36.45312955
RSE9009,대전광역시 대덕구 신탄진동149-5 신탄진고교 앞,신탄진,127.4358808,36.44862266
RSE9010,신탄진동 147-1 박정형외과 의원건너 육교밑 신호등,신탄진,127.4293039,36.44749548
RSE9011,석봉동 188-14 장원축산물 앞,신탄진,127.4259497,36.44755702
RSE9012,목상동 3-2 새일고교 옆/덕암골프연습장 건너,신탄진,127.4214072,36.44698426
