rse_id,rse_id_exist,,대덕대교,,도솔대교,,,,,,,,,,,
RSE1501,RSE1501,,RSE7056,,RSE1501,,,,,,,,,,,
RSE1502,RSE1504,,RSE7059,,RSE1504,,,,,,,,,,,
RSE1503,RSE1505,,RSE7060,,RSE1505,,,,,,,,,,,
RSE1504,RSE1507,,RSE7067,,RSE1508,,,,,,,,,,,
RSE1505,RSE1508,,RSE7068,,RSE1511,,,,,,,,,,,
RSE1506,RSE1509,,RSE7092,,RSE1512,,,,,,,,,,,
RSE1507,RSE1510,,RSE7097,,RSE1513,,,,,,,,,,,
RSE1508,RSE1511,,RSE7109,,RSE1515,,,,,,,,,,,
RSE1509,RSE1512,,RSE7112,,RSE1517,,,,,,,,,,,
RSE1510,RSE1513,,RSE7114,,RSE1607,,,,,,,,,,,
RSE1511,RSE1515,,RSE7117,,RSE7056,,,,,,,,,,,
RSE1512,RSE1517,,RSE7120,,RSE7067,,,,,,,,,,,
RSE1513,RSE1524,,RSE7121,,RSE7104,,,,,,,,,,,
RSE1514,RSE1607,,RSE7124,,RSE7105,,,,,,,,,,,
RSE1515,RSE7054,,RSE7125,,RSE7157,,,,,,,,,,,
RSE1516,RSE7056,,RSE7126,,RSE7196,,,,,,,,,,,
RSE1517,RSE7057,,RSE7129,,RSE7359,,,,,,,,,,,
RSE1518,RSE7058,,RSE7130,,RSE8102,,,,,,,,,,,
RSE1519,RSE7059,,RSE7131,,RSE8103,,,,,,,,,,,
RSE1520,RSE7060,,RSE7132,,,,,,,,,,,,,
RSE1521,RSE7062,,RSE7142,,19,,,,,,,,,,,
RSE1524,RSE7064,,RSE7144,,,,,,,,,,,,,
RSE1601,RSE7065,,RSE7195,,,,,,,,,,,,,
RSE1602,RSE7067,,RSE7196,,,,,,,,,,,,,
RSE1603,RSE7068,,RSE7385,,,,,,,,,,,,,
RSE1605,RSE7092,,RSE7401,,,,,,,,,,,,,
RSE1606,RSE7097,,RSE8069,,,,,,,,,,,,,
RSE1607,RSE7104,,,,,,,,,,,,,,,
RSE2101,RSE7105,,27,,,,,,,,,,,,,
RSE2102,RSE7106,,,,,,,,,,,,,,,
RSE2104,RSE7109,,,,,,,,,,,,,,,
RSE2105,RSE7112,,,,,,,,,,,,,,,
RSE2106,RSE7113,,,,,,,,,,,,,,,
RSE2108,RSE7114,,,,,,,,,,,,,,,
RSE2109,RSE7115,,,,,,,,,,,,,,,
RSE2110,RSE7116,,,,,,,,,,,,,,,
RSE5070,RSE7117,,,,,,,,,,,,,,,
RSE5176,RSE7118,,,,,,,,,,,,,,,
RSE5177,RSE7120,,,,,,,,,,,,,,,
RSE5179,RSE7121,,,,,,,,,,,,,,,
RSE5182,RSE7122,,,,,,,,,,,,,,,
RSE5184,RSE7123,,,,,,,,,,,,,,,
RSE5231,RSE7124,,,,,,,,,,,,,,,
RSE5241,RSE7125,,,,,,,,,,,,,,,
RSE5242,RSE7126,,,,,,,,,,,,,,,
RSE5243,RSE7129,,,,,,,,,,,,,,,
RSE5244,RSE7130,,,,,,,,,,,,,,,
RSE5246,RSE7131,,,,,,,,,,,,,,,
RSE5248,RSE7132,,,,,,,,,,,,,,,
RSE5251,RSE7142,,,,,,,,,,,,,,,
RSE5253,RSE7143,,,,,,,,,,,,,,,
RSE5254,RSE7144,,,,,,,,,,,,,,,
RSE5258,RSE7145,,,,,,,,,,,,,,,
RSE5263,RSE7146,,,,,,,,,,,,,,,
RSE5336,RSE7157,,,,,,,,,,,,,,,
RSE5341,RSE7192,,,,,,,,,,,,,,,
RSE5342,RSE7195,,,,,,,,,,,,,,,
RSE5348,RSE7196,,,,,,,,,,,,,,,
RSE5390,RSE7203,,,,,,,,,,,,,,,
RSE5514,RSE7205,,,,,,,,,,,,,,,
RSE6061,RSE7208,,,,,,,,,,,,,,,
RSE6087,RSE7359,,,,,,,,,,,,,,,
RSE6221,RSE7384,,,,,,,,,,,,,,,
RSE6222,RSE7385,,,,,,,,,,,,,,,
RSE6225,RSE7401,,,,,,,,,,,,,,,
RSE6226,RSE7511,,,,,,,,,,,,,,,
RSE6227,RSE8069,,,,,,,,,,,,,,,
RSE6229,RSE8102,,,,,,,,,,,,,,,
RSE6230,RSE8103,,,,,,,,,,,,,,,
RSE6235,,,,,,,,,,,,,,,,
RSE6236,,,,,,,,,,,,,,,,
RSE6249,,,,,,,,,,,,,,,,
RSE6283,,,,,,,,,,,,,,,,
RSE6284,,,,,,,,,,,,,,,,
RSE6285,,,,,,,,,,,,,,,,
RSE6287,,,,,,,,,,,,,,,,
RSE6288,,,,,,,,,,,,,,,,
RSE6289,,,,,,,,,,,,,,,,
RSE6291,,,,,,,,,,,,,,,,
RSE6292,,,,,,,,,,,,,,,,
