reg_ymdhms,vds_id,tr_vol,trvl_spd,trvl_tm
20230406000000,VDS0022,75.0,69.6,21.0
20230406000500,VDS0022,66.0,69.9,21.0
20230406001000,VDS0022,69.0,70.9,21.0
20230406001500,VDS0022,65.0,68.1,22.0
20230406002000,VDS0022,41.0,79.0,19.0
20230406002500,VDS0022,65.0,71.0,21.0
20230406003000,VDS0022,58.0,70.8,21.0
20230406003500,VDS0022,43.0,70.8,21.0
20230406004000,VDS0022,47.0,72.3,20.0
20230406004500,VDS0022,38.0,72.1,20.0
20230406005000,VDS0022,43.0,73.7,20.0
20230406005500,VDS0022,39.0,70.6,21.0
20230406010000,VDS0022,24.0,75.0,20.0
20230406010500,VDS0022,38.0,69.4,21.0
20230406011000,VDS0022,43.0,74.1,20.0
20230406011500,VDS0022,34.0,74.9,20.0
20230406012000,VDS0022,36.0,73.2,20.0
20230406012500,VDS0022,39.0,70.6,21.0
20230406013000,VDS0022,26.0,70.1,21.0
20230406013500,VDS0022,33.0,67.8,22.0
20230406014000,VDS0022,38.0,75.2,19.0
20230406014500,VDS0022,19.0,72.3,20.0
20230406015000,VDS0022,30.0,74.6,20.0
20230406015500,VDS0022,20.0,71.3,21.0
20230406020000,VDS0022,22.0,71.7,20.0
20230406020500,VDS0022,35.0,76.1,19.0
20230406021000,VDS0022,23.0,76.9,19.0
20230406021500,VDS0022,19.0,73.4,20.0
20230406022000,VDS0022,29.0,74.1,20.0
20230406022500,VDS0022,20.0,83.6,18.0
20230406023000,VDS0022,27.0,68.5,21.0
20230406023500,VDS0022,22.0,78.6,19.0
20230406024000,VDS0022,23.0,72.7,20.0
20230406024500,VDS0022,23.0,68.2,21.0
20230406025000,VDS0022,15.0,82.9,18.0
20230406025500,VDS0022,20.0,67.4,22.0
20230406030000,VDS0022,11.0,65.4,22.0
20230406030500,VDS0022,8.0,81.6,18.0
20230406031000,VDS0022,9.0,71.3,21.0
20230406031500,VDS0022,54.0,76.1,19.0
20230406032000,VDS0022,22.0,68.4,21.0
20230406032500,VDS0022,22.0,78.7,19.0
20230406033000,VDS0022,24.0,72.2,20.0
20230406033500,VDS0022,18.0,61.6,24.0
20230406034000,VDS0022,30.0,80.5,18.0
20230406034500,VDS0022,30.0,73.3,20.0
20230406035000,VDS0022,26.0,50.2,29.0
20230406035500,VDS0022,23.0,75.0,20.0
20230406040000,VDS0022,22.0,64.8,23.0
20230406040500,VDS0022,34.0,61.4,24.0
20230406041000,VDS0022,28.0,74.8,20.0
20230406041500,VDS0022,29.0,61.5,24.0
20230406042000,VDS0022,37.0,67.2,22.0
20230406042500,VDS0022,37.0,74.0,20.0
20230406043000,VDS0022,34.0,70.2,21.0
20230406043500,VDS0022,38.0,65.5,22.0
20230406044000,VDS0022,35.0,70.2,21.0
20230406044500,VDS0022,45.0,69.8,21.0
20230406045000,VDS0022,39.0,69.8,21.0
20230406045500,VDS0022,54.0,63.3,23.0
20230406050000,VDS0022,43.0,64.2,23.0
20230406050500,VDS0022,56.0,63.4,23.0
20230406051000,VDS0022,68.0,72.2,20.0
20230406051500,VDS0022,59.0,66.3,22.0
20230406052000,VDS0022,65.0,65.1,23.0
20230406052500,VDS0022,84.0,60.9,24.0
20230406053000,VDS0022,88.0,66.6,22.0
20230406053500,VDS0022,111.0,64.0,23.0
20230406054000,VDS0022,91.0,64.6,23.0
20230406054500,VDS0022,126.0,67.3,22.0
20230406055000,VDS0022,127.0,66.6,22.0
20230406055500,VDS0022,125.0,66.5,22.0
20230406060000,VDS0022,128.0,63.6,23.0
20230406060500,VDS0022,141.0,53.9,27.0
20230406061000,VDS0022,157.0,61.2,24.0
20230406061500,VDS0022,162.0,59.4,25.0
20230406062000,VDS0022,138.0,56.7,26.0
20230406062500,VDS0022,161.0,66.6,22.0
20230406063000,VDS0022,182.0,57.2,26.0
20230406063500,VDS0022,186.0,63.8,23.0
20230406064000,VDS0022,192.0,51.2,29.0
20230406064500,VDS0022,204.0,63.8,23.0
20230406065000,VDS0022,193.0,54.5,27.0
20230406065500,VDS0022,219.0,62.5,23.0
20230406070000,VDS0022,230.0,54.8,27.0
20230406070500,VDS0022,245.0,57.6,25.0
20230406071000,VDS0022,263.0,54.0,27.0
20230406071500,VDS0022,262.0,54.4,27.0
20230406072000,VDS0022,290.0,51.9,28.0
20230406072500,VDS0022,328.0,54.1,27.0
20230406073000,VDS0022,302.0,61.9,24.0
20230406073500,VDS0022,281.0,63.3,23.0
20230406074000,VDS0022,252.0,67.9,22.0
20230406074500,VDS0022,324.0,59.0,25.0
20230406075000,VDS0022,326.0,60.4,24.0
20230406075500,VDS0022,270.0,56.4,26.0
20230406080000,VDS0022,264.0,58.2,25.0
20230406080500,VDS0022,276.0,53.0,28.0
20230406081000,VDS0022,327.0,56.1,26.0
20230406081500,VDS0022,317.0,56.0,26.0
20230406082000,VDS0022,281.0,57.7,25.0
20230406082500,VDS0022,263.0,58.9,25.0
20230406083000,VDS0022,356.0,55.6,26.0
20230406083500,VDS0022,323.0,56.7,26.0
20230406084000,VDS0022,323.0,58.7,25.0
20230406084500,VDS0022,318.0,60.7,24.0
20230406085000,VDS0022,334.0,63.0,23.0
20230406085500,VDS0022,318.0,63.2,23.0
20230406090000,VDS0022,270.0,61.7,24.0
20230406090500,VDS0022,257.0,58.8,25.0
20230406091000,VDS0022,285.0,57.0,26.0
20230406091500,VDS0022,297.0,58.1,25.0
20230406092000,VDS0022,254.0,51.9,28.0
20230406092500,VDS0022,276.0,60.3,24.0
20230406093000,VDS0022,321.0,51.5,28.0
