route_id,VDS_id,longitude,latitude,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,movers_diff,avg_speed_diff,location
0,VDS0023,127.354644,36.359348,2826,2837,56.965635738831615,58.94608695652174,11,1.980451217690124,봉명동 670(둔산방향)
1,VDS0104,127.345495,36.348277,1042,1180,45.75476839237057,43.90745501285347,138,-1.8473133795171037,봉명동 1039-2(도안7단지예미지후문)
2,VDS0107,127.349163,36.3357,526,660,67.37696335078535,49.229838709677416,134,-18.14712464110793,원신흥동 523(가수원동방향 150M 교통표지판부근)
3,VDS0108,127.349503,36.33567,0,2474,0.0,56.607142857142854,2474,56.607142857142854,원신흥동 514(VDS0107건너편)
4,VDS0110,127.343517,36.33197,740,0,61.70242214532872,0.0,-740,-61.70242214532872,도안동 1511(예미지 11단지 버스정류장 뒤쪽)
5,VDS0112,127.347811,36.32365,874,749,57.93050193050193,56.736040609137056,-125,-1.1944613213648765,"도안동 1525(도안동 307-2, 1505동 도로변)"
6,VDS0113,127.348111,36.323514,0,974,0.0,45.71296296296296,974,45.71296296296296,"도안동 1528(도안동 306-2, VDS0112 건너편)"
7,VDS0124,127.352844,36.331997,1139,1221,75.7917737789203,76.63395225464191,82,0.8421784757216102,도안동427-18
