route_id,VDS_id,longitude,latitude,movers_2023,movers_2024,avg_speed_2023,avg_speed_2024,movers_diff,avg_speed_diff,location
0,VDS0022,127.354784,36.359818,3162,3245,56.44854368932039,60.44767441860465,83,3.9991307292842606,봉명동 15-2(유성방향)
1,VDS0103,127.345698,36.348726,864,1261,55.66423357664234,54.50833333333333,397,-1.1559002433090058,봉명동 1062
2,VDS0107,127.349163,36.3357,861,911,43.31609195402299,44.20574162679426,50,0.8896496727712702,원신흥동 523(가수원동방향 150M 교통표지판부근)
3,VDS0108,127.349503,36.33567,1701,1874,55.153153153153156,57.24254473161034,173,2.0893915784571817,원신흥동 514(VDS0107건너편)
4,VDS0109,127.343543,36.332378,1115,0,58.50847457627118,0.0,-1115,-58.50847457627118,원신흥동528-5
5,VDS0112,127.347811,36.32365,1853,1667,47.5,51.156488549618324,-186,3.6564885496183237,"도안동 1525(도안동 307-2, 1505동 도로변)"
6,VDS0113,127.348111,36.323514,0,894,0.0,45.654639175257735,894,45.654639175257735,"도안동 1528(도안동 306-2, VDS0112 건너편)"
7,VDS0123,127.352836,36.332246,1612,1809,59.08238636363637,50.93646408839779,197,-8.145922275238576,원신흥동49-4
